Date,Perlis,Selangor,Sabah
1/10/2005,50.5,56,32.5
2/10/2005,51,50.5,31.5
3/10/2005,51,48.5,37
4/10/2005,46.5,45.5,35.5
5/10/2005,49,42.5,39.5
6/10/2005,49.5,43.5,30.5
7/10/2005,47,54.5,43.5
8/10/2005,48,53.5,36.5
9/10/2005,49,48,37.75
10/10/2005,55.5,51,33.25
11/10/2005,56,52,35
12/10/2005,54.5,52,32.5
13/10/2005,52,61.5,32
14/10/2005,50.5,52,35
15/10/2005,52,55,33.75
16/10/2005,41.5,32,33.5
17/10/2005,45.5,55.5,29.75
18/10/2005,49.5,47,28.25
19/10/2005,52.5,36.25,26
20/10/2005,54.5,32.5,39.5
21/10/2005,52,45,30
22/10/2005,52,40.5,29.25
23/10/2005,54,33,29
24/10/2005,51.5,51.5,31.75
25/10/2005,55,44.5,34
26/10/2005,52,44,36.75
27/10/2005,55.5,46,31.75
28/10/2005,55,41.5,32
29/10/2005,53.5,42.5,29.75
30/10/2005,56,42,31
31/10/2005,50.5,43.5,35.25
1/11/2005,47.5,35.5,30.5
2/11/2005,50.5,37.5,25.25
3/11/2005,51.5,29.5,34.25
4/11/2005,46,27.5,28.5
5/11/2005,50,36.5,26
6/11/2005,51.5,36,26.25
7/11/2005,51,41.5,33
8/11/2005,52,51,36.5
9/11/2005,55,54.5,43.25
10/11/2005,50,51.5,38
11/11/2005,52,47.5,35
12/11/2005,41.5,50.5,27
13/11/2005,51.5,37.5,37.75
14/11/2005,49,34,34.25
15/11/2005,53.5,44.5,38.25
16/11/2005,51.5,55,39.25
17/11/2005,52.5,51.5,39.75
18/11/2005,52.5,48.5,34
19/11/2005,53,45,38.5
20/11/2005,47.5,40,40.5
21/11/2005,56,39.5,45.5
22/11/2005,62.5,54.5,47
23/11/2005,61,43.5,35
24/11/2005,51.5,48,30.75
25/11/2005,52.5,42.5,28.5
26/11/2005,50.5,52,33.25
27/11/2005,50.5,54.5,31.25
28/11/2005,51,42.5,30.25
29/11/2005,51,47.5,32.25
30/11/2005,53.5,32,32
1/12/2005,51.5,33.5,30.5
2/12/2005,54.5,41.75,41.25
3/12/2005,48,40.5,38.25
4/12/2005,51,52,34.25
5/12/2005,48.5,30.5,33.25
6/12/2005,53,51,48
7/12/2005,51,44.5,31.75
8/12/2005,49.5,52,39.25
9/12/2005,49,45,39.75
10/12/2005,52.5,57.5,39.25
11/12/2005,50.5,55,36.25
12/12/2005,57,57.5,41.5
13/12/2005,53.5,48.5,37
14/12/2005,55.5,49,35
15/12/2005,51,44.5,38.25
16/12/2005,49,46.5,37
17/12/2005,44,43.5,38
18/12/2005,45,41,40.5
19/12/2005,,44,31.75
20/12/2005,61,49,40
21/12/2005,,47,40
22/12/2005,,49,38.5
23/12/2005,55.5,47,34.25
24/12/2005,63,56.5,45.25
25/12/2005,63,52.5,40.25
26/12/2005,54.5,50.5,36.75
27/12/2005,56.5,54,32.75
28/12/2005,54,52.5,35.25
29/12/2005,58,47.5,41.25
30/12/2005,57.5,50.5,37.5
31/12/2005,58.5,53,35
1/1/2006,55,46.5,39.25
2/1/2006,54,38,34.75
3/1/2006,54,44.5,34.5
4/1/2006,52.5,46,39.75
5/1/2006,56,51.5,38
6/1/2006,53,53.5,38
7/1/2006,57,40.5,43.25
8/1/2006,56,40,49.25
9/1/2006,62,32.5,44
10/1/2006,59.5,46,49.25
11/1/2006,60,33,38
12/1/2006,57,58.5,45
13/1/2006,55.5,56.5,49.75
